,rw,gb,ms,fa,rs,total
gmd_lPFtha_R,NA,NA,1,0.226949348,NA,1
gmd_cTtha_R,1,1,NA,NA,NA,NA
gmd_cTtha_L,NA,NA,NA,1,NA,NA
gmd_Stha_L,NA,NA,NA,NA,1,NA
gmd_dlPu_L,NA,NA,NA,NA,1,1
gmd_NAC_R,1,NA,NA,NA,NA,NA
gmd_cHipp_R,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_TempPar_3,NA,NA,NA,1,NA,NA
gmd_17Networks_RH_TempPar_1,NA,NA,1,NA,NA,NA
gmd_17Networks_RH_DefaultC_PHC_1,NA,NA,1,NA,NA,NA
gmd_17Networks_RH_DefaultB_AntTemp_1,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_PFCm_5,0.46252184,NA,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_PFCm_3,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_PFCm_1,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_pCunPCC_5,NA,NA,NA,NA,1,NA
gmd_17Networks_RH_DefaultA_pCunPCC_4,NA,NA,1,NA,NA,NA
gmd_17Networks_RH_DefaultA_PFCd_2,NA,1,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_IPL_1,NA,1,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_Temp_1,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_ContC_pCun_2,NA,NA,NA,1,NA,1
gmd_17Networks_RH_ContB_PFClv_4,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_ContB_PFClv_3,NA,NA,1,NA,NA,NA
gmd_17Networks_RH_ContB_PFCld_1,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_ContB_IPL_1,NA,NA,NA,NA,1,1
gmd_17Networks_RH_ContB_Temp_1,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_ContA_IPS_2,NA,NA,NA,NA,1,NA
gmd_17Networks_RH_SalVentAttnB_PFCl_3,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_SalVentAttnB_PFCl_2,0.248374037,NA,NA,NA,NA,NA
gmd_17Networks_RH_SalVentAttnA_ParMed_3,NA,NA,NA,1,NA,NA
gmd_17Networks_RH_SalVentAttnA_ParMed_2,NA,1,NA,NA,NA,NA
gmd_17Networks_RH_DorsAttnB_FEF_2,1,NA,NA,NA,NA,NA
gmd_17Networks_RH_DorsAttnA_SPL_3,NA,NA,NA,1,NA,NA
gmd_17Networks_RH_DorsAttnA_SPL_1,NA,NA,NA,1,NA,NA
gmd_17Networks_RH_SomMotB_S2_4,NA,NA,1,NA,NA,NA
gmd_17Networks_RH_SomMotA_19,NA,1,NA,NA,NA,NA
gmd_17Networks_RH_SomMotA_11,NA,NA,NA,0.513056176,NA,1
gmd_17Networks_RH_SomMotA_10,NA,NA,NA,NA,1,1
gmd_17Networks_RH_SomMotA_7,NA,NA,NA,NA,1,NA
gmd_17Networks_RH_SomMotA_6,NA,NA,NA,NA,1,NA
gmd_17Networks_RH_SomMotA_5,NA,NA,NA,1,NA,NA
gmd_17Networks_RH_SomMotA_4,NA,NA,1,NA,1,1
gmd_17Networks_RH_VisPeri_ExStrSup_3,NA,NA,NA,1,NA,1
gmd_17Networks_RH_VisPeri_ExStrSup_2,NA,NA,1,NA,NA,NA
gmd_17Networks_RH_VisPeri_ExStrInf_4,NA,1,NA,NA,NA,NA
gmd_17Networks_RH_VisCent_ExStr_9,NA,NA,NA,NA,1,1
gmd_17Networks_RH_VisCent_ExStr_8,NA,NA,1,NA,1,1
gmd_17Networks_RH_VisCent_ExStr_7,NA,NA,NA,NA,1,NA
gmd_17Networks_RH_VisCent_ExStr_6,NA,1,NA,NA,NA,NA
gmd_17Networks_RH_VisCent_ExStr_4,NA,1,NA,NA,NA,NA
gmd_17Networks_RH_VisCent_ExStr_1,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultC_PHC_1,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultC_IPL_1,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultB_PFCv_4,NA,1,NA,1,NA,1
gmd_17Networks_LH_DefaultB_PFCl_1,1,NA,1,NA,NA,NA
gmd_17Networks_LH_DefaultB_Temp_6,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultB_Temp_5,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultA_PFCm_6,NA,NA,1,NA,NA,NA
gmd_17Networks_LH_DefaultA_PFCm_4,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultA_PFCm_3,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultA_PFCm_2,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultA_PFCm_1,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_ContC_pCun_2,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_ContB_PFClv_1,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_ContB_IPL_3,NA,NA,1,NA,NA,NA
gmd_17Networks_LH_ContA_PFCl_3,1,NA,1,NA,NA,NA
gmd_17Networks_LH_ContA_IPS_5,NA,NA,NA,NA,1,NA
gmd_17Networks_LH_LimbicA_TempPole_6,NA,NA,1,NA,NA,NA
gmd_17Networks_LH_LimbicB_OFC_5,NA,NA,NA,1,NA,NA
gmd_17Networks_LH_LimbicB_OFC_2,0.269436294,NA,NA,NA,NA,NA
gmd_17Networks_LH_LimbicB_OFC_1,NA,NA,NA,NA,1,1
gmd_17Networks_LH_SalVentAttnB_PFCl_3,1,NA,1,NA,NA,NA
gmd_17Networks_LH_SalVentAttnA_ParMed_2,0.615823579,NA,NA,NA,NA,NA
gmd_17Networks_LH_DorsAttnB_PrCv_1,NA,1,NA,NA,NA,NA
gmd_17Networks_LH_DorsAttnB_PostC_6,NA,NA,1,NA,NA,1
gmd_17Networks_LH_DorsAttnA_SPL_6,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_DorsAttnA_SPL_5,NA,NA,1,NA,NA,NA
gmd_17Networks_LH_DorsAttnA_SPL_3,1,NA,1,NA,NA,NA
gmd_17Networks_LH_DorsAttnA_TempOcc_4,NA,NA,NA,1,NA,NA
gmd_17Networks_LH_SomMotB_S2_5,NA,NA,NA,1,NA,NA
gmd_17Networks_LH_SomMotB_S2_1,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_SomMotA_16,NA,NA,NA,NA,1,NA
gmd_17Networks_LH_SomMotA_13,NA,NA,NA,1,NA,NA
gmd_17Networks_LH_SomMotA_11,NA,1,1,1,NA,1
gmd_17Networks_LH_SomMotA_8,NA,NA,NA,1,NA,NA
gmd_17Networks_LH_SomMotA_6,1,NA,NA,NA,NA,NA
gmd_17Networks_LH_SomMotA_3,NA,1,NA,NA,NA,NA
gmd_17Networks_LH_VisPeri_ExStrSup_2,NA,1,1,NA,NA,NA
gmd_17Networks_LH_VisPeri_ExStrInf_3,NA,NA,NA,1,NA,NA
gmd_17Networks_LH_VisPeri_ExStrInf_2,NA,1,NA,NA,NA,NA
gmd_17Networks_LH_VisCent_ExStr_10,NA,NA,1,NA,NA,NA
gmd_17Networks_LH_VisCent_ExStr_9,0.897559347,NA,NA,NA,NA,NA
gmd_17Networks_LH_VisCent_ExStr_3,NA,NA,1,NA,NA,NA
gmd_17Networks_LH_VisCent_ExStr_1,1,NA,NA,NA,NA,NA
zReHo_lPFtha_L,NA,NA,NA,NA,1,NA
zReHo_Otha_L,NA,NA,NA,1,1,1
zReHo_Stha_R,NA,NA,NA,NA,1,NA
zReHo_Stha_L,NA,NA,NA,NA,1,NA
zReHo_mPMtha_R,NA,NA,NA,NA,1,NA
zReHo_mPMtha_L,NA,NA,NA,NA,1,NA
zReHo_mPFtha_R,NA,NA,NA,NA,1,NA
zReHo_mPFtha_L,NA,NA,NA,NA,1,NA
zReHo_dCa_R,NA,NA,1,NA,NA,NA
zReHo_dCa_L,NA,NA,1,NA,NA,NA
zReHo_cHipp_L,NA,NA,NA,1,1,1
zReHo_mAmyg_L,NA,NA,NA,1,1,1
zfALFF_lPFtha_L,NA,NA,1,NA,NA,1
zfALFF_cTtha_L,NA,NA,1,NA,NA,NA
zfALFF_Otha_R,NA,NA,1,NA,NA,NA
zfALFF_Otha_L,NA,NA,NA,1,NA,1
zfALFF_PPtha_R,NA,NA,1,NA,NA,NA
zfALFF_rTtha_R,NA,NA,1,1,NA,1
zfALFF_rTtha_L,NA,NA,1,1,NA,1
zfALFF_Stha_R,1,NA,0.363566903,NA,NA,1
zfALFF_Stha_L,NA,NA,0.664637873,1,NA,1
zfALFF_mPMtha_L,NA,NA,0.225657023,NA,NA,1
zfALFF_mPFtha_L,NA,NA,1,NA,NA,1
zfALFF_dlPu_R,NA,NA,NA,NA,1,NA
zfALFF_dCa_R,NA,NA,NA,NA,1,NA
zfALFF_NAC_R,NA,0.654723051,NA,NA,NA,NA
zfALFF_cHipp_L,NA,NA,1,1,0.190902329,0.220417252
zfALFF_rHipp_R,NA,0.199535861,1,NA,NA,1
zfALFF_rHipp_L,NA,0.947929155,1,0.202134983,0.051263594,0.018423066
zfALFF_lAmyg_R,NA,NA,NA,1,NA,1
zfALFF_lAmyg_L,NA,1,NA,NA,NA,1
zfALFF_mAmyg_R,NA,0.851978184,1,0.223652886,1,0.200632827
zfALFF_mAmyg_L,1,0.527971279,1,0.27545698,0.189608065,0.034434128
zfALFF_A8m_L,NA,NA,NA,NA,1,1
zALFF_Otha_R,NA,NA,NA,NA,1,NA
zALFF_PPtha_R,NA,NA,NA,NA,1,NA
zALFF_dlPu_R,NA,NA,NA,1,NA,NA
zALFF_dCa_L,NA,NA,NA,NA,1,NA
zALFF_vCa_R,NA,NA,NA,NA,1,1
zfALFF_17Networks_RH_TempPar_7,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_TempPar_4,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_TempPar_3,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_DefaultC_PHC_1,NA,1,NA,NA,NA,NA
zfALFF_17Networks_RH_DefaultC_IPL_1,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_DefaultB_PFCv_3,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_DefaultB_PFCv_2,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_DefaultB_PFCv_1,NA,1,1,NA,NA,NA
zfALFF_17Networks_RH_DefaultB_PFCd_3,NA,NA,1,NA,1,1
zfALFF_17Networks_RH_DefaultB_Temp_2,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_DefaultB_Temp_1,NA,NA,NA,NA,0.344453849,1
zfALFF_17Networks_RH_DefaultA_PFCm_5,NA,1,NA,NA,NA,NA
zfALFF_17Networks_RH_DefaultA_PFCm_4,NA,NA,0.860473828,NA,1,1
zfALFF_17Networks_RH_DefaultA_PFCd_2,NA,NA,NA,NA,1,1
zfALFF_17Networks_RH_DefaultA_PFCd_1,NA,NA,1,NA,0.077914262,0.395431041
zfALFF_17Networks_RH_DefaultA_IPL_1,NA,NA,NA,NA,1,1
zfALFF_17Networks_RH_ContC_Cingp_2,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_ContC_Cingp_1,NA,NA,NA,NA,1,NA
zfALFF_17Networks_RH_ContC_pCun_4,NA,0.089342032,NA,NA,NA,1
zfALFF_17Networks_RH_ContC_pCun_2,NA,1,NA,1,NA,1
